KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,ZEME3
"CS","CZEMALFA",1186,"MC","Monako","Monacké knížectví","01.01.1900","09.09.9999","MCO"
"CS","CZEMALFA",1186,"MD","Moldavsko","Moldavská republika","01.01.1900","09.09.9999","MDA"
"CS","CZEMALFA",1186,"ME","Černá Hora","Černá Hora","03.06.2006","09.09.9999","MNE"
"CS","CZEMALFA",1186,"MF","Svatý Martin (FR)","Společenství Svatý Martin","21.09.2007","09.09.9999","MAF"
"CS","CZEMALFA",1186,"MG","Madagaskar","Madagaskarská republika","01.01.1900","09.09.9999","MDG"
"CS","CZEMALFA",1186,"MH","Marshallovy ostrovy","Republika Marshallovy ostrovy","01.01.1900","09.09.9999","MHL"
"CS","CZEMALFA",1186,"MK","Severní Makedonie","Republika Severní Makedonie","30.05.1997","09.09.9999","MKD"
"CS","CZEMALFA",1186,"ML","Mali","Republika Mali","01.01.1900","09.09.9999","MLI"
"CS","CZEMALFA",1186,"MM","Myanmar","Republika Myanmarský svaz","01.01.1900","09.09.9999","MMR"
"CS","CZEMALFA",1186,"MN","Mongolsko","Mongolsko","01.01.1900","09.09.9999","MNG"
"CS","CZEMALFA",1186,"MO","Macao","Zvláštní administrativní oblast Čínské lidové republiky Macao","01.01.1900","09.09.9999","MAC"
"CS","CZEMALFA",1186,"MP","Severní Mariany","Společenství Severní Mariany","01.01.1900","09.09.9999","MNP"
"CS","CZEMALFA",1186,"MQ","Martinik","Martinik","01.01.1900","09.09.9999","MTQ"
"CS","CZEMALFA",1186,"MR","Mauritánie","Mauritánská islámská republika","01.01.1900","09.09.9999","MRT"
"CS","CZEMALFA",1186,"MS","Montserrat","Montserrat","01.01.1900","09.09.9999","MSR"
"CS","CZEMALFA",1186,"MT","Malta","Maltská republika","01.01.1900","09.09.9999","MLT"
"CS","CZEMALFA",1186,"MU","Mauricius","Mauricijská republika","01.01.1900","09.09.9999","MUS"
"CS","CZEMALFA",1186,"MV","Maledivy","Maledivská republika","01.01.1900","09.09.9999","MDV"
"CS","CZEMALFA",1186,"MW","Malawi","Malawiská republika","01.01.1900","09.09.9999","MWI"
"CS","CZEMALFA",1186,"MX","Mexiko","Spojené státy mexické","01.01.1900","09.09.9999","MEX"
"CS","CZEMALFA",1186,"MY","Malajsie","Malajsie","01.01.1900","09.09.9999","MYS"
"CS","CZEMALFA",1186,"MZ","Mosambik","Mosambická republika","01.01.1900","09.09.9999","MOZ"
"CS","CZEMALFA",1186,"NA","Namibie","Namibijská republika","01.01.1900","09.09.9999","NAM"
"CS","CZEMALFA",1186,"NC","Nová Kaledonie","Nová Kaledonie","01.01.1900","09.09.9999","NCL"
"CS","CZEMALFA",1186,"NE","Niger","Nigerská republika","01.01.1900","09.09.9999","NER"
"CS","CZEMALFA",1186,"NF","Norfolk","Území Norfolk","01.01.1900","09.09.9999","NFK"
